节点,X坐标,Y坐标,U位移,V位移
1,0,1.5,0,0
2,0,0,0,0
3,1.30544,1.13872,-2.63072e-007,-3.89024e-007
4,1.57478,0,-1.14007e-006,-7.87521e-007
5,1.07655,2.10648,3.14125e-007,-2.78788e-007
6,0,3,0,0
7,2.4498,0.859216,-8.01251e-007,-1.58909e-006
8,3.14956,0,-2.33714e-006,-2.66898e-006
9,2.50253,1.89366,4.89541e-007,-1.56871e-006
10,1.57479,3,1.21418e-006,-7.55588e-007
11,3.68651,0.950146,-9.73373e-007,-3.46877e-006
12,4.72434,0,-3.40513e-006,-5.75534e-006
13,4.10569,1.97242,9.42663e-007,-4.27039e-006
14,3.14958,3,2.33569e-006,-2.66499e-006
15,5.2212,0.984104,-1.26429e-006,-6.82825e-006
16,6.29912,0,-4.40236e-006,-9.92362e-006
17,5.70755,1.99034,1.32051e-006,-8.105e-006
18,4.72437,3,3.41098e-006,-5.75493e-006
19,6.804,0.991717,-1.58264e-006,-1.13573e-005
20,7.8739,0,-5.33989e-006,-1.51075e-005
21,7.32186,1.99572,1.66016e-006,-1.3059e-005
22,6.29916,3,4.4173e-006,-9.92416e-006
23,8.38755,0.997624,-1.87517e-006,-1.68945e-005
24,9.44869,0,-6.21461e-006,-2.12427e-005
25,8.90814,1.99862,1.96988e-006,-1.89239e-005
26,7.87395,3,5.35423e-006,-1.5108e-005
27,9.96866,0.999698,-2.15383e-006,-2.33621e-005
28,11.0235,0,-7.02503e-006,-2.82622e-005
29,10.4969,2.00132,2.26056e-006,-2.57202e-005
30,9.44873,3,6.22773e-006,-2.12446e-005
31,11.5472,1.00063,-2.41384e-006,-3.0685e-005
32,12.5982,0,-7.77142e-006,-3.60981e-005
33,12.0725,2.00127,2.51651e-006,-3.3303e-005
34,11.0235,3,7.03632e-006,-2.82638e-005
35,13.1233,1.00147,-2.65168e-006,-3.87928e-005
36,14.173,0,-8.45267e-006,-4.46827e-005
37,13.6463,2.00465,2.77026e-006,-4.16483e-005
38,12.5983,3,7.78058e-006,-3.61003e-005
39,14.7048,1.00338,-2.86379e-006,-4.76578e-005
40,15.7341,0,-9.06345e-006,-5.38646e-005
41,15.2058,2.02182,3.08724e-006,-5.0612e-005
42,14.1731,3,8.45965e-006,-4.4686e-005
43,16.3616,0.995301,-3.12219e-006,-5.76462e-005
44,17.0849,0,-9.563e-006,-6.23094e-005
45,16.6149,2.12758,3.91765e-006,-5.92646e-005
46,17.4411,1.58511,5.4567e-007,-6.45352e-005
47,15.7341,3,9.06703e-006,-5.38679e-005
48,17.606,0.729338,-5.00826e-006,-6.56321e-005
49,18.1655,1.20719,-1.94286e-006,-6.93218e-005
50,18.6219,1.5021,1.19667e-008,-7.24039e-005
51,18.7107,1.10277,-2.68352e-006,-7.30137e-005
52,19.0578,1.28292,-1.47419e-006,-7.53963e-005
53,18.0884,0,-9.93734e-006,-6.88791e-005
54,19.0606,1.69815,1.34067e-006,-7.54157e-005
55,19.5,1.50017,-1.06877e-009,-7.84489e-005
56,18.1829,1.82461,2.14985e-006,-6.94409e-005
57,18.6999,1.90094,2.70249e-006,-7.29412e-005
58,17.6502,2.34775,5.51589e-006,-6.59285e-005
59,17.0848,3,9.55752e-006,-6.232e-005
60,18.5151,0.600642,-6.04465e-006,-7.16922e-005
61,19.0605,0.839069,-4.51161e-006,-7.54194e-005
62,19.5,1,-3.42703e-006,-7.84731e-005
63,18.8352,0,-1.02154e-005,-7.39276e-005
64,19.5,2,3.42175e-006,-7.8473e-005
65,19.0475,2.15742,4.48062e-006,-7.53304e-005
66,18.5186,2.40454,6.07422e-006,-7.17189e-005
67,18.0881,3,9.93733e-006,-6.88778e-005
68,19.1568,0.37668,-7.72893e-006,-7.61111e-005
69,19.4224,0.67141,-5.73154e-006,-7.79528e-005
70,19.7165,0.735943,-5.32885e-006,-8.00447e-005
71,19.8602,1,-3.45359e-006,-8.10724e-005
72,19.9976,0.81185,-4.82686e-006,-8.20757e-005
73,20.1311,1,-3.48265e-006,-8.30397e-005
74,19.4189,0,-1.04509e-005,-7.79887e-005
75,20.5,2,3.5376e-006,-8.57455e-005
76,20.4348,2.13633,4.51976e-006,-8.52727e-005
77,20.337,2,3.508e-006,-8.45467e-005
78,19.3955,2.36156,5.95346e-006,-7.77656e-005
79,19.8598,2,3.45053e-006,-8.10696e-005
80,19.7372,2.32342,5.75042e-006,-8.01967e-005
81,19.1268,2.60109,7.56235e-006,-7.59048e-005
82,18.8348,3,1.02126e-005,-7.3928e-005
83,20.0194,2.20962,4.98007e-006,-8.22353e-005
84,20.1306,2,3.47885e-006,-8.30358e-005
85,20.2581,2.17286,4.75452e-006,-8.39768e-005
86,20.6347,1.01847,-3.4374e-006,-8.67386e-005
87,20.5,1,-3.5421e-006,-8.57456e-005
88,20.6034,0.901164,-4.28228e-006,-8.65129e-005
89,20.2129,0.838446,-4.66906e-006,-8.36444e-005
90,20.3374,1,-3.51203e-006,-8.45492e-005
91,20.484,0.831224,-4.76948e-006,-8.56352e-005
92,20.3622,0.871618,-4.45363e-006,-8.47376e-005
93,19.7072,0.339343,-8.14443e-006,-8.00039e-005
94,19.9475,0.594202,-6.38317e-006,-8.17221e-005
95,20.1352,0.652047,-6.00335e-006,-8.30866e-005
96,20.8535,1.14638,-2.55607e-006,-8.83527e-005
97,20.9316,1.10894,-2.83056e-006,-8.89248e-005
98,20.9316,1.24757,-1.83277e-006,-8.89277e-005
99,20.7371,0.952673,-3.93235e-006,-8.74958e-005
100,20.7523,1.06831,-3.10196e-006,-8.76064e-005
101,20.8425,1.03219,-3.37334e-006,-8.82701e-005
102,19.9285,0,-1.06461e-005,-8.16322e-005
103,21.0312,1.12911,-2.69268e-006,-8.96549e-005
104,21.0634,1.2551,-1.78204e-006,-8.98925e-005
105,20.9815,1.36526,-9.81812e-007,-8.92956e-005
106,21.09,1.37137,-9.38235e-007,-9.00885e-005
107,21,1.5,-1.90252e-009,-8.94319e-005
108,20.9815,1.6346,9.77251e-007,-8.92959e-005
109,21.0545,1.71477,1.55919e-006,-8.98274e-005
110,20.9317,1.75218,1.82707e-006,-8.89288e-005
111,20.7482,2.02752,3.78601e-006,-8.75777e-005
112,20.635,1.98142,3.43179e-006,-8.67415e-005
113,20.7526,1.93148,3.09654e-006,-8.76088e-005
114,21.0634,1.80847,2.23859e-006,-8.98916e-005
115,20.9705,1.87118,2.68575e-006,-8.92098e-005
116,20.8537,1.85336,2.55044e-006,-8.83539e-005
117,20.8872,1.9315,3.11299e-006,-8.85981e-005
118,20.5748,2.11741,4.40762e-006,-8.63028e-005
119,20.691,2.11524,4.41249e-006,-8.71582e-005
120,20.5306,2.22254,5.16389e-006,-8.59807e-005
121,20.4113,2.29708,5.68359e-006,-8.51063e-005
122,19.9894,2.42981,6.55937e-006,-8.20292e-005
123,19.5457,2.68303,8.25361e-006,-7.88562e-005
124,19.8558,2.58133,7.61325e-006,-8.10736e-005
125,19.4185,3,1.04448e-005,-7.79864e-005
126,20.2262,2.41082,6.47162e-006,-8.37545e-005
127,20.5845,0.744234,-5.42039e-006,-8.63782e-005
128,20.7043,0.834082,-4.78746e-006,-8.72572e-005
129,20.3699,0.639103,-6.14344e-006,-8.48036e-005
130,20.1464,0.371489,-8.02996e-006,-8.31827e-005
131,20.5699,0.611646,-6.3822e-006,-8.62766e-005
