材料常数为：2e+011	泊松比为：0.3	厚度为：1
节点1坐标为:X=1.259726	Y=1.497835
节点2坐标为:X=0.000000	Y=0.000000
节点3坐标为:X=2.005688	Y=0.000000
节点4坐标为:X=0.000000	Y=1.500000
节点5坐标为:X=0.000000	Y=3.000000
节点6坐标为:X=3.052513	Y=1.499607
节点7坐标为:X=4.011376	Y=0.000000
节点8坐标为:X=2.005146	Y=3.000000
节点9坐标为:X=5.022851	Y=1.499807
节点10坐标为:X=6.017064	Y=0.000000
节点11坐标为:X=4.010292	Y=3.000000
节点12坐标为:X=7.028775	Y=1.499518
节点13坐标为:X=8.022752	Y=0.000000
节点14坐标为:X=6.015438	Y=3.000000
节点15坐标为:X=9.030256	Y=1.492457
节点16坐标为:X=10.028440	Y=0.000000
节点17坐标为:X=8.020584	Y=3.000000
节点18坐标为:X=11.058445	Y=1.512419
节点19坐标为:X=12.034128	Y=0.000000
节点20坐标为:X=10.025730	Y=3.000000
节点21坐标为:X=13.102208	Y=1.477084
节点22坐标为:X=14.039723	Y=0.000000
节点23坐标为:X=12.030876	Y=3.000000
节点24坐标为:X=15.841548	Y=0.000000
节点25坐标为:X=15.239087	Y=1.470719
节点26坐标为:X=14.035945	Y=3.000000
节点27坐标为:X=16.698189	Y=0.900083
节点28坐标为:X=17.252713	Y=0.000000
节点29坐标为:X=16.716472	Y=2.057529
节点30坐标为:X=17.670008	Y=1.487565
节点31坐标为:X=15.838416	Y=3.000000
节点32坐标为:X=17.837547	Y=0.648554
节点33坐标为:X=18.322915	Y=1.147438
节点34坐标为:X=18.299946	Y=0.000000
节点35坐标为:X=18.417461	Y=1.734529
节点36坐标为:X=18.978256	Y=1.224801
节点37坐标为:X=19.500000	Y=1.500171
节点38坐标为:X=19.063956	Y=1.843399
节点39坐标为:X=17.814579	Y=2.308274
节点40坐标为:X=17.250732	Y=3.000000
节点41坐标为:X=19.500000	Y=1.000000
节点42坐标为:X=18.742038	Y=0.545936
节点43坐标为:X=19.236044	Y=0.765798
节点44坐标为:X=19.081482	Y=0.000000
节点45坐标为:X=19.500000	Y=2.000000
节点46坐标为:X=19.271938	Y=2.213004
节点47坐标为:X=18.761742	Y=2.395627
节点48坐标为:X=18.298930	Y=3.000000
节点49坐标为:X=20.388980	Y=0.891345
节点50坐标为:X=20.500000	Y=1.000000
节点51坐标为:X=20.337438	Y=1.000000
节点52坐标为:X=20.478529	Y=0.849206
节点53坐标为:X=19.641011	Y=0.721113
节点54坐标为:X=19.860220	Y=1.000000
节点55坐标为:X=19.329351	Y=0.365356
节点56坐标为:X=20.004510	Y=0.776899
节点57坐标为:X=20.131128	Y=1.000000
节点58坐标为:X=20.245554	Y=0.855499
节点59坐标为:X=20.740454	Y=0.976452
节点60坐标为:X=20.752278	Y=1.068310
节点61坐标为:X=20.634651	Y=1.018472
节点62坐标为:X=20.819766	Y=1.007963
节点63坐标为:X=20.853490	Y=1.146383
节点64坐标为:X=20.576951	Y=0.881945
节点65坐标为:X=20.685606	Y=0.885667
节点66坐标为:X=19.666678	Y=0.000000
节点67坐标为:X=20.909009	Y=1.020233
节点68坐标为:X=20.947554	Y=1.107138
节点69坐标为:X=20.931599	Y=1.247568
节点70坐标为:X=20.750681	Y=2.033808
节点71坐标为:X=20.635027	Y=1.981423
节点72坐标为:X=20.752639	Y=1.931478
节点73坐标为:X=20.500000	Y=2.000000
节点74坐标为:X=20.566357	Y=2.128649
节点75坐标为:X=20.424719	Y=2.159086
节点76坐标为:X=20.336966	Y=2.000000
节点77坐标为:X=20.234915	Y=2.204669
节点78坐标为:X=20.130556	Y=2.000000
节点79坐标为:X=19.859804	Y=2.000000
节点80坐标为:X=19.636181	Y=2.286417
节点81坐标为:X=19.944984	Y=2.256346
节点82坐标为:X=19.328119	Y=2.614421
节点83坐标为:X=19.081019	Y=3.000000
节点84坐标为:X=20.398470	Y=0.756748
节点85坐标为:X=20.518639	Y=0.779099
节点86坐标为:X=19.905506	Y=0.397692
节点87坐标为:X=20.251739	Y=0.605297
节点88坐标为:X=20.791394	Y=0.903728
节点89坐标为:X=20.870650	Y=0.933442
节点90坐标为:X=20.643271	Y=0.764484
节点91坐标为:X=20.747245	Y=0.807967
节点92坐标为:X=20.109047	Y=0.000000
节点93坐标为:X=20.949082	Y=0.924001
节点94坐标为:X=21.006689	Y=1.006915
节点95坐标为:X=21.044169	Y=1.129978
节点96坐标为:X=21.070341	Y=1.239376
节点97坐标为:X=20.981504	Y=1.365263
节点98坐标为:X=21.125085	Y=1.322281
节点99坐标为:X=21.000000	Y=1.500000
节点100坐标为:X=21.112130	Y=1.425648
节点101坐标为:X=21.091494	Y=1.533877
节点102坐标为:X=20.981542	Y=1.634599
节点103坐标为:X=21.106217	Y=1.630426
节点104坐标为:X=21.049415	Y=1.698988
节点105坐标为:X=20.931748	Y=1.752177
节点106坐标为:X=21.065890	Y=1.777554
节点107坐标为:X=20.987157	Y=1.835284
节点108坐标为:X=20.853743	Y=1.853364
节点109坐标为:X=20.883647	Y=1.947981
节点110坐标为:X=20.979396	Y=1.918988
节点111坐标为:X=20.852557	Y=2.025901
节点112坐标为:X=20.693115	Y=2.113829
节点113坐标为:X=20.821093	Y=2.114253
节点114坐标为:X=20.658154	Y=2.224901
节点115坐标为:X=20.536855	Y=2.281898
节点116坐标为:X=20.346193	Y=2.350663
节点117坐标为:X=20.153037	Y=2.415695
节点118坐标为:X=19.912239	Y=2.634730
节点119坐标为:X=19.666533	Y=3.000000
